"created_at","pm2p5"
"2019/01/01",65
"2019/01/02",17
"2019/01/03",12
"2019/01/04",35
"2019/01/05",55
"2019/01/06",56
"2019/01/07",77
"2019/01/08",84
"2019/01/09",24
"2019/01/10",14
"2019/01/11",24
"2019/01/12",44
"2019/01/13",60
"2019/01/14",14
"2019/01/15",17
"2019/01/16",34
"2019/01/17",41
"2019/01/18",37
"2019/01/19",18
"2019/01/20",42
"2019/01/21",39
"2019/01/22",62
"2019/01/23",43
"2019/01/24",64
"2019/01/25",50
"2019/01/26",70
"2019/01/27",64
"2019/01/28",43
"2019/01/29",44
"2019/01/30",25
"2019/01/31",41
"2019/02/01",26
"2019/02/02",32
"2019/02/03",29
"2019/02/04",30
"2019/02/05",36
"2019/02/06",44
"2019/02/07",57
"2019/02/08",59
"2019/02/09",53
"2019/02/10",62
"2019/02/11",21
"2019/02/12",12
"2019/02/13",14
"2019/02/14",45
"2019/02/15",62
"2019/02/16",74
"2019/02/17",71
"2019/02/18",41
"2019/02/19",21
"2019/02/20",53
"2019/02/21",69
"2019/02/22",63
"2019/02/23",33
"2019/02/24",21
"2019/02/25",48
"2019/02/26",39
"2019/02/27",44
"2019/02/28",42
"2019/03/01",38
"2019/03/02",34
"2019/03/03",29
"2019/03/04",24
"2019/03/05",19
"2019/03/06",31
"2019/03/07",29
"2019/03/08",22
"2019/03/09",10
"2019/03/10",12
"2019/03/11",8
"2019/03/12",8
"2019/03/13",11
"2019/03/14",18
"2019/03/15",8
"2019/03/16",7
"2019/03/17",14
"2019/03/18",7
"2019/03/19",-999
"2019/03/20",17
"2019/03/21",22
"2019/03/22",33
"2019/03/23",41
"2019/03/24",34
"2019/03/25",20
"2019/03/26",10
"2019/03/27",12
"2019/03/28",12
"2019/03/29",19
"2019/03/30",32
"2019/03/31",33
"2019/04/01",33
"2019/04/02",33
"2019/04/03",20
"2019/04/04",11
"2019/04/05",13
"2019/04/06",20
"2019/04/07",16
"2019/04/08",15
"2019/04/09",13
"2019/04/10",18
"2019/04/11",13
"2019/04/12",10
"2019/04/13",18
"2019/04/14",8
"2019/04/15",9
"2019/04/16",21
"2019/04/17",29
"2019/04/18",24
"2019/04/19",17
"2019/04/20",20
"2019/04/21",13
"2019/04/22",15
"2019/04/23",6
"2019/04/24",9
"2019/04/25",19
"2019/04/26",12
"2019/04/27",9
"2019/04/28",9
"2019/04/29",7
"2019/04/30",9
"2019/05/01",8
"2019/05/02",7
"2019/05/03",7
"2019/05/04",15
"2019/05/05",6
"2019/05/06",9
"2019/05/07",9
"2019/05/08",14
"2019/05/09",9
"2019/05/10",20
"2019/05/11",13
"2019/05/12",7
"2019/05/13",7
"2019/05/14",14
"2019/05/15",9
"2019/05/16",14
"2019/05/17",14
"2019/05/18",10
"2019/05/19",15
"2019/05/20",12
"2019/05/21",8
"2019/05/22",11
"2019/05/23",14
"2019/05/24",12
"2019/05/25",8
"2019/05/26",8
"2019/05/27",13
"2019/05/28",17
"2019/05/29",6
"2019/05/30",5
"2019/05/31",6
"2019/06/01",13
"2019/06/02",11
"2019/06/03",-999
"2019/06/04",-999
"2019/06/05",7
"2019/06/06",19
"2019/06/07",9
"2019/06/08",11
"2019/06/09",17
"2019/06/10",20
"2019/06/11",17
"2019/06/12",-999
"2019/06/13",8
"2019/06/14",16
"2019/06/15",14
"2019/06/16",6
"2019/06/17",15
"2019/06/18",12
"2019/06/19",15
"2019/06/20",8
"2019/06/21",11
"2019/06/22",6
"2019/06/23",10
"2019/06/24",18
"2019/06/25",19
"2019/06/26",28
"2019/06/27",32
"2019/06/28",32
"2019/06/29",11
"2019/06/30",13
"2019/07/01",15
"2019/07/02",4
"2019/07/03",11
"2019/07/04",9
"2019/07/05",12
"2019/07/06",15
"2019/07/07",14
"2019/07/08",10
"2019/07/09",8
"2019/07/10",8
"2019/07/11",9
"2019/07/12",11
"2019/07/13",6
"2019/07/14",3
"2019/07/15",3
"2019/07/16",6
"2019/07/17",7
"2019/07/18",12
"2019/07/19",14
"2019/07/20",17
"2019/07/21",11
"2019/07/22",-999
"2019/07/23",26
"2019/07/24",25
"2019/07/25",22
"2019/07/26",15
"2019/07/27",10
"2019/07/28",7
"2019/07/29",5
"2019/07/30",5
"2019/07/31",9
"2019/08/01",13
"2019/08/02",7
"2019/08/03",4
"2019/08/04",8
"2019/08/05",9
"2019/08/06",13
"2019/08/07",5
"2019/08/08",7
"2019/08/09",13
"2019/08/10",11
"2019/08/11",11
"2019/08/12",12
"2019/08/13",0
"2019/08/14",3
"2019/08/15",2
"2019/08/16",5
"2019/08/17",5
"2019/08/18",10
"2019/08/19",8
"2019/08/20",10
"2019/08/21",10
"2019/08/22",7
"2019/08/23",4
"2019/08/24",14
"2019/08/25",12
"2019/08/26",12
"2019/08/27",18
"2019/08/28",12
"2019/08/29",10
"2019/08/30",16
"2019/08/31",14
"2019/09/01",15
"2019/09/02",14
"2019/09/03",-999
"2019/09/04",9
"2019/09/05",15
"2019/09/06",4
"2019/09/07",8
"2019/09/08",4
"2019/09/09",6
"2019/09/10",9
"2019/09/11",11
"2019/09/12",18
"2019/09/13",19
"2019/09/14",22
"2019/09/15",22
"2019/09/16",27
"2019/09/17",13
"2019/09/18",12
"2019/09/19",8
"2019/09/20",12
"2019/09/21",12
"2019/09/22",18
"2019/09/23",23
"2019/09/24",32
"2019/09/25",18
"2019/09/26",38
"2019/09/27",44
"2019/09/28",20
"2019/09/29",6
"2019/09/30",-999
"2019/10/01",14
"2019/10/02",7
"2019/10/03",8
"2019/10/04",14
"2019/10/05",20
"2019/10/06",29
"2019/10/07",5
"2019/10/08",19
"2019/10/09",21
"2019/10/10",25
"2019/10/11",30
"2019/10/12",40
"2019/10/13",46
"2019/10/14",41
"2019/10/15",34
"2019/10/16",3
"2019/10/17",12
"2019/10/18",13
"2019/10/19",16
"2019/10/20",11
"2019/10/21",5
"2019/10/22",14
"2019/10/23",27
"2019/10/24",21
"2019/10/25",11
"2019/10/26",15
"2019/10/27",17
"2019/10/28",31
"2019/10/29",36
"2019/10/30",22
"2019/10/31",18
"2019/11/01",15
"2019/11/02",22
"2019/11/03",5
"2019/11/04",12
"2019/11/05",18
"2019/11/06",12
"2019/11/07",16
"2019/11/08",6
"2019/11/09",15
"2019/11/10",29
"2019/11/11",16
"2019/11/12",14
"2019/11/13",23
"2019/11/14",18
"2019/11/15",16
"2019/11/16",19
"2019/11/17",10
"2019/11/18",23
"2019/11/19",12
"2019/11/20",19
"2019/11/21",25
"2019/11/22",20
"2019/11/23",5
"2019/11/24",8
"2019/11/25",16
"2019/11/26",25
"2019/11/27",17
"2019/11/28",20
"2019/11/29",34
"2019/11/30",28
"2019/12/01",26
"2019/12/02",15
"2019/12/03",15
"2019/12/04",15
"2019/12/05",41
"2019/12/06",52
"2019/12/07",48
"2019/12/08",56
"2019/12/09",60
"2019/12/10",14
"2019/12/11",23
"2019/12/12",26
"2019/12/13",21
"2019/12/14",26
"2019/12/15",31
"2019/12/16",33
"2019/12/17",34
"2019/12/18",27
"2019/12/19",24
"2019/12/20",-999
"2019/12/21",19
"2019/12/22",14
"2019/12/23",10
"2019/12/24",11
